facility_id,measure_id,measure_name,start_date,end_date,score_numeric,score_raw,score_available,sample_size,footnote
010012,OP_22,Left before being seen,2024-01-01,2024-12-31,,2,true,20366,
010012,OP_23,Head CT results,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010016,EDV,Emergency department volume,2024-01-01,2024-12-31,,medium,true,,
010016,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,190.0,190,true,440,
010016,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,188.0,188,true,423,
010016,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010016,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010016,OP_22,Left before being seen,2024-01-01,2024-12-31,,2,true,31532,
010016,OP_23,Head CT results,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010018,EDV,Emergency department volume,2024-01-01,2024-12-31,,low,true,,
010018,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,126.0,126,true,288,3
010018,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,126.0,126,true,287,3
010018,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,,Not Available,false,Not Available,"3, 7"
010018,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,,Not Available,false,Not Available,"1, 3"
010018,OP_22,Left before being seen,2024-01-01,2024-12-31,,1,true,9416,
010018,OP_23,Head CT results,2024-07-01,2025-06-30,,Not Available,false,Not Available,5
010019,EDV,Emergency department volume,2024-01-01,2024-12-31,,medium,true,,
010019,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,188.0,188,true,373,
010019,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,185.0,185,true,349,
010019,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010019,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,348.0,348,true,14,
010019,OP_22,Left before being seen,2024-01-01,2024-12-31,,3,true,34390,
010019,OP_23,Head CT results,2024-07-01,2025-06-30,,65,true,17,
010021,EDV,Emergency department volume,2024-01-01,2024-12-31,,low,true,,
010021,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,150.0,150,true,379,
010021,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,145.0,145,true,337,
010021,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010021,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,270.0,270,true,33,
010021,OP_22,Left before being seen,2024-01-01,2024-12-31,,2,true,17154,
010021,OP_23,Head CT results,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010022,EDV,Emergency department volume,2024-01-01,2024-12-31,,low,true,,
010022,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,134.0,134,true,435,
010022,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,128.0,128,true,404,
010022,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010022,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,265.0,265,true,25,
010022,OP_22,Left before being seen,2024-01-01,2024-12-31,,0,true,8983,
010022,OP_23,Head CT results,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010023,EDV,Emergency department volume,2024-01-01,2024-12-31,,high,true,,
010023,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,215.0,215,true,411,
010023,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,214.0,214,true,397,
010023,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,306.0,306,true,13,
010023,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010023,OP_22,Left before being seen,2024-01-01,2024-12-31,,2,true,55999,
010023,OP_23,Head CT results,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010024,EDV,Emergency department volume,2024-01-01,2024-12-31,,high,true,,
010024,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,143.0,143,true,1590,
010024,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,141.0,141,true,1493,
010024,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,149.0,149,true,49,
010024,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,185.0,185,true,51,
010024,OP_22,Left before being seen,2024-01-01,2024-12-31,,1,true,53927,
010024,OP_23,Head CT results,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010029,EDV,Emergency department volume,2024-01-01,2024-12-31,,high,true,,
010029,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,205.0,205,true,620,
010029,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,202.0,202,true,594,
010029,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,303.0,303,true,25,
010029,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010029,OP_22,Left before being seen,2024-01-01,2024-12-31,,5,true,55362,
010029,OP_23,Head CT results,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010033,EDV,Emergency department volume,2024-01-01,2024-12-31,,very high,true,,
010033,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,223.0,223,true,2168,
010033,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,215.0,215,true,1986,
010033,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,389.0,389,true,136,
010033,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,501.0,501,true,51,
010033,OP_22,Left before being seen,2024-01-01,2024-12-31,,2,true,142026,
